Monitoring.Location.ID,Monitoring.Location.Latitude,Monitoring.Location.Longitude,qual,r,r_units,Detection_limit,strd,Set_detection_limit,1/2_Det_lim,Set to 0,Set_1/2_crit,num_samples
11972-ORDEQ,45.6446144,-121.5147318,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.021,ug/l,0.021,0.000022,0.021,0.0105,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0242,ug/l,0.0242,0.000022,0.0242,0.0121,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0215,ug/l,0.0215,0.000022,0.0215,0.01075,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.024,ug/l,0.024,0.000022,0.024,0.012,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0221,ug/l,0.0221,0.000022,0.0221,0.01105,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0219,ug/l,0.0219,0.000022,0.0219,0.01095,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0237,ug/l,0.0237,0.000022,0.0237,0.01185,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.022,ug/l,0.022,0.000022,0.022,0.011,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0249,ug/l,0.0249,0.000022,0.0249,0.01245,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.02,ug/l,0.02,0.000022,0.02,0.01,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0236,ug/l,0.0236,0.000022,0.0236,0.0118,0,0.000011,83
11972-ORDEQ,45.6446144,-121.5147318,<,0.0244,ug/l,0.0244,0.000022,0.0244,0.0122,0,0.000011,83
