"OrganizationIdentifier.x","ActivityIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","CharacteristicName","ResultMeasureValue.x","ResultMeasure.MeasureUnitCode.x","MeasureQualifierCode.x","ResultDetectionConditionText","ResultValueTypeName","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","ResultMeasureValue.y","ResultMeasure.MeasureUnitCode.y","MeasureQualifierCode.y","ResultSampleFractionText","strd","detect","quant","qual","set_det_limit","set_half_det_limit","set_0","half_crit","set_det_limit_excur","set_half_det_limit_excur","set_0_excur","half_crit_excur"
"OREGONDEQ","OREGONDEQ-15577-ORDEQ:201310230930:SR",2013-10-23,"09:30:00","OREGONDEQ-15577-ORDEQ","Lead","<1.00","ug/l","","","Actual","","Minimum Reporting Level",1,"ug/l",36,"mg/l",NA,"Dissolved",0.866597728064584,"","","<","1","0.5","0"," 0.43",1,0,0,0
"OREGONDEQ","OREGONDEQ-15578-ORDEQ:201310231035:SR",2013-10-23,"10:35:00","OREGONDEQ-15578-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",89,"mg/l",NA,"Dissolved",2.74295031570523,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-37429-ORDEQ:201305201715:SR",2013-05-20,"17:15:00","OREGONDEQ-37429-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-37430-ORDEQ:201305201806:SR",2013-05-20,"18:06:00","OREGONDEQ-37430-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",37,"mg/l",NA,"Dissolved",0.897357005013293,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-22680-ORDEQ:201305281720:SR",2013-05-28,"17:20:00","OREGONDEQ-22680-ORDEQ","Lead","<1.00","ug/l","","","Actual","","Minimum Reporting Level",1,"ug/l",1200,"mg/l",NA,"Dissolved",75.2388569257457,"","","<","1","0.5","0","0.5",0,0,0,0
"OREGONDEQ","OREGONDEQ-12264-ORDEQ:201510270909:SR",2015-10-27,"09:09:00","OREGONDEQ-12264-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",93,"mg/l",NA,"Dissolved",2.90083653222542,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10506-ORDEQ:201508310839:SR",2015-08-31,"08:39:00","OREGONDEQ-10506-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",57,"mg/l",NA,"Dissolved",1.55551124101354,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10421-ORDEQ:201509021311:SR",2015-09-02,"13:11:00","OREGONDEQ-10421-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",38,"mg/l",NA,"Dissolved",0.928344098925167,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-36778-ORDEQ:201505201239:SR",2015-05-20,"12:39:00","OREGONDEQ-36778-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",101,"mg/l",NA,"Dissolved",3.222148644548,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-15578-ORDEQ:201504221100:SR",2015-04-22,"11:00:00","OREGONDEQ-15578-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",73,"mg/l",NA,"Dissolved",2.13134847994697,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-11856-ORDEQ:201411121317:SR",2014-11-12,"13:17:00","OREGONDEQ-11856-ORDEQ","Lead","0.06","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",17,"mg/l",NA,"Dissolved",0.333430972847978,"","","=","0.06","0.06","0.06","0.06",0,0,0,0
"OREGONDEQ","OREGONDEQ-10611-ORDEQ:201408211140:SR",2014-08-21,"11:40:00","OREGONDEQ-10611-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-13070-ORDEQ:201506221011:SR",2015-06-22,"10:11:00","OREGONDEQ-13070-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","<","0.2","0.1","0","0.1",0,0,0,0
